category,market,month,value
Amber,UK,2024-08-01,0
Amber,UK,2024-09-01,45.6
Amber,UK,2024-10-01,33.75
Amber,UK,2024-11-01,31
Amber,UK,2024-12-01,40.2
Amber,UK,2025-01-01,20
Amber,UK,2025-02-01,0
Amber,UK,2025-03-01,11.6
Amber,UK,2025-04-01,0
Amber,UK,2025-05-01,0
Amber,UK,2025-06-01,18.2
Amber,UK,2025-07-01,25.25
Amber,UK,2025-08-01,37
Amber,US,2024-08-01,33
Amber,US,2024-09-01,43.4
Amber,US,2024-10-01,38.25
Amber,US,2024-11-01,43
Amber,US,2024-12-01,58.8
Amber,US,2025-01-01,22.5
Amber,US,2025-02-01,45.25
Amber,US,2025-03-01,34
Amber,US,2025-04-01,27.5
Amber,US,2025-05-01,31.75
Amber,US,2025-06-01,29.4
Amber,US,2025-07-01,28.25
Amber,US,2025-08-01,44.5
Citrus,UK,2024-08-01,0
Citrus,UK,2024-09-01,0
Citrus,UK,2024-10-01,0
Citrus,UK,2024-11-01,65.5
Citrus,UK,2024-12-01,42.6
Citrus,UK,2025-01-01,15.75
Citrus,UK,2025-02-01,34
Citrus,UK,2025-03-01,33.6
Citrus,UK,2025-04-01,0
Citrus,UK,2025-05-01,16.75
Citrus,UK,2025-06-01,29.8
Citrus,UK,2025-07-01,50.5
Citrus,UK,2025-08-01,45
Citrus,US,2024-08-01,52.333333333333336
Citrus,US,2024-09-01,52
Citrus,US,2024-10-01,45
Citrus,US,2024-11-01,60.25
Citrus,US,2024-12-01,81
Citrus,US,2025-01-01,52.25
Citrus,US,2025-02-01,52.5
Citrus,US,2025-03-01,58.2
Citrus,US,2025-04-01,58.25
Citrus,US,2025-05-01,68
Citrus,US,2025-06-01,54
Citrus,US,2025-07-01,59.5
Citrus,US,2025-08-01,66.5
Floral,UK,2024-08-01,41
Floral,UK,2024-09-01,38.4
Floral,UK,2024-10-01,39
Floral,UK,2024-11-01,63.5
Floral,UK,2024-12-01,73.8
Floral,UK,2025-01-01,37.5
Floral,UK,2025-02-01,37.5
Floral,UK,2025-03-01,40.6
Floral,UK,2025-04-01,30.75
Floral,UK,2025-05-01,36.5
Floral,UK,2025-06-01,44.8
Floral,UK,2025-07-01,39.5
Floral,UK,2025-08-01,48
Floral,US,2024-08-01,46
Floral,US,2024-09-01,39.4
Floral,US,2024-10-01,41.25
Floral,US,2024-11-01,65
Floral,US,2024-12-01,83.4
Floral,US,2025-01-01,38.5
Floral,US,2025-02-01,45
Floral,US,2025-03-01,38.4
Floral,US,2025-04-01,44
Floral,US,2025-05-01,49.5
Floral,US,2025-06-01,43
Floral,US,2025-07-01,44.75
Floral,US,2025-08-01,48.5
Fruity,UK,2024-08-01,0
Fruity,UK,2024-09-01,20.2
Fruity,UK,2024-10-01,13.25
Fruity,UK,2024-11-01,41.5
Fruity,UK,2024-12-01,63.2
Fruity,UK,2025-01-01,31.5
Fruity,UK,2025-02-01,0
Fruity,UK,2025-03-01,9.2
Fruity,UK,2025-04-01,14.75
Fruity,UK,2025-05-01,40.5
Fruity,UK,2025-06-01,30.8
Fruity,UK,2025-07-01,50.25
Fruity,UK,2025-08-01,41.5
Fruity,US,2024-08-01,42.333333333333336
Fruity,US,2024-09-01,37.8
Fruity,US,2024-10-01,36.75
Fruity,US,2024-11-01,61
Fruity,US,2024-12-01,71.8
Fruity,US,2025-01-01,38.5
Fruity,US,2025-02-01,43.25
Fruity,US,2025-03-01,42.2
Fruity,US,2025-04-01,48
Fruity,US,2025-05-01,53
Fruity,US,2025-06-01,50.6
Fruity,US,2025-07-01,41.5
Fruity,US,2025-08-01,47.5
Gourmand,UK,2024-08-01,23.333333333333332
Gourmand,UK,2024-09-01,35
Gourmand,UK,2024-10-01,0
Gourmand,UK,2024-11-01,77.25
Gourmand,UK,2024-12-01,24
Gourmand,UK,2025-01-01,17.5
Gourmand,UK,2025-02-01,16.75
Gourmand,UK,2025-03-01,0
Gourmand,UK,2025-04-01,35
Gourmand,UK,2025-05-01,0
Gourmand,UK,2025-06-01,17.2
Gourmand,UK,2025-07-01,29.5
Gourmand,UK,2025-08-01,35.5
Gourmand,US,2024-08-01,51
Gourmand,US,2024-09-01,55
Gourmand,US,2024-10-01,59.5
Gourmand,US,2024-11-01,74.75
Gourmand,US,2024-12-01,78
Gourmand,US,2025-01-01,55.25
Gourmand,US,2025-02-01,51.5
Gourmand,US,2025-03-01,50
Gourmand,US,2025-04-01,51
Gourmand,US,2025-05-01,45.75
Gourmand,US,2025-06-01,45.8
Gourmand,US,2025-07-01,45.5
Gourmand,US,2025-08-01,55.5
Green,UK,2024-08-01,42
Green,UK,2024-09-01,36.2
Green,UK,2024-10-01,45.75
Green,UK,2024-11-01,69.75
Green,UK,2024-12-01,78.8
Green,UK,2025-01-01,41.25
Green,UK,2025-02-01,37.25
Green,UK,2025-03-01,39.6
Green,UK,2025-04-01,31.75
Green,UK,2025-05-01,39.25
Green,UK,2025-06-01,37.8
Green,UK,2025-07-01,39.5
Green,UK,2025-08-01,42.5
Green,US,2024-08-01,38
Green,US,2024-09-01,34.6
Green,US,2024-10-01,36
Green,US,2024-11-01,54.5
Green,US,2024-12-01,73.2
Green,US,2025-01-01,33.75
Green,US,2025-02-01,38
Green,US,2025-03-01,36.4
Green,US,2025-04-01,40.25
Green,US,2025-05-01,44.75
Green,US,2025-06-01,36.4
Green,US,2025-07-01,42
Green,US,2025-08-01,40.5
Leather,UK,2024-08-01,0
Leather,UK,2024-09-01,0
Leather,UK,2024-10-01,25
Leather,UK,2024-11-01,0
Leather,UK,2024-12-01,0
Leather,UK,2025-01-01,18.5
Leather,UK,2025-02-01,0
Leather,UK,2025-03-01,0
Leather,UK,2025-04-01,0
Leather,UK,2025-05-01,0
Leather,UK,2025-06-01,0
Leather,UK,2025-07-01,4.25
Leather,UK,2025-08-01,9
Leather,US,2024-08-01,0
Leather,US,2024-09-01,0
Leather,US,2024-10-01,0
Leather,US,2024-11-01,25
Leather,US,2024-12-01,0
Leather,US,2025-01-01,0
Leather,US,2025-02-01,0
Leather,US,2025-03-01,0
Leather,US,2025-04-01,0
Leather,US,2025-05-01,0
Leather,US,2025-06-01,0
Leather,US,2025-07-01,5.75
Leather,US,2025-08-01,15.5
Musky,UK,2024-08-01,31
Musky,UK,2024-09-01,0
Musky,UK,2024-10-01,25
Musky,UK,2024-11-01,45.75
Musky,UK,2024-12-01,0
Musky,UK,2025-01-01,0
Musky,UK,2025-02-01,0
Musky,UK,2025-03-01,0
Musky,UK,2025-04-01,0
Musky,UK,2025-05-01,0
Musky,UK,2025-06-01,0
Musky,UK,2025-07-01,6.5
Musky,UK,2025-08-01,31
Musky,US,2024-08-01,32
Musky,US,2024-09-01,27
Musky,US,2024-10-01,27.5
Musky,US,2024-11-01,35.5
Musky,US,2024-12-01,48
Musky,US,2025-01-01,19.5
Musky,US,2025-02-01,17.75
Musky,US,2025-03-01,25.4
Musky,US,2025-04-01,8.75
Musky,US,2025-05-01,27.75
Musky,US,2025-06-01,31.8
Musky,US,2025-07-01,28.25
Musky,US,2025-08-01,32.5
Spicy,UK,2024-08-01,0
Spicy,UK,2024-09-01,0
Spicy,UK,2024-10-01,0
Spicy,UK,2024-11-01,0
Spicy,UK,2024-12-01,20
Spicy,UK,2025-01-01,0
Spicy,UK,2025-02-01,0
Spicy,UK,2025-03-01,0
Spicy,UK,2025-04-01,0
Spicy,UK,2025-05-01,0
Spicy,UK,2025-06-01,0
Spicy,UK,2025-07-01,4.25
Spicy,UK,2025-08-01,11
Spicy,US,2024-08-01,30.666666666666668
Spicy,US,2024-09-01,39.2
Spicy,US,2024-10-01,63.5
Spicy,US,2024-11-01,62.5
Spicy,US,2024-12-01,81.8
Spicy,US,2025-01-01,48.25
Spicy,US,2025-02-01,48.75
Spicy,US,2025-03-01,20.6
Spicy,US,2025-04-01,28.75
Spicy,US,2025-05-01,25.5
Spicy,US,2025-06-01,0
Spicy,US,2025-07-01,23
Spicy,US,2025-08-01,49.5
Woody,UK,2024-08-01,17.333333333333332
Woody,UK,2024-09-01,39.4
Woody,UK,2024-10-01,41.75
Woody,UK,2024-11-01,51
Woody,UK,2024-12-01,73.8
Woody,UK,2025-01-01,31
Woody,UK,2025-02-01,15.5
Woody,UK,2025-03-01,11.2
Woody,UK,2025-04-01,0
Woody,UK,2025-05-01,0
Woody,UK,2025-06-01,33.8
Woody,UK,2025-07-01,33.75
Woody,UK,2025-08-01,38.5
Woody,US,2024-08-01,52.333333333333336
Woody,US,2024-09-01,48.2
Woody,US,2024-10-01,47.75
Woody,US,2024-11-01,66
Woody,US,2024-12-01,88.4
Woody,US,2025-01-01,42
Woody,US,2025-02-01,49
Woody,US,2025-03-01,37.6
Woody,US,2025-04-01,33.25
Woody,US,2025-05-01,52.75
Woody,US,2025-06-01,43.2
Woody,US,2025-07-01,55.25
Woody,US,2025-08-01,57
